Symbol,Name,Sector
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,ETF
AAL,American Airlines Group,Industrial
AAME,Atlantic American,Financials
AAOI,Applied Optoelectronics,Industrial
AAON,AAON, Inc.,Industrial
AAPL,Apple,Information Technology
AAVL,Avalanche Biotechnologies, Inc.,ETF
AAWW,Atlas Air Worldwide Holdings,Industrial
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,ETF
ABAX,ABAXIS, Inc.,ETF
ABCB,Ameris Bancorp,Financials
ABCD,Cambium Learning Group, Inc.,ETF
ABCO,The Advisory Board Company,ETF
ABIO,ARCA biopharma,Healthcare
ABMD,Abiomed,Healthcare
ACAD,ACADIA Pharmaceuticals,Healthcare
ACET,Adicet Bio,Healthcare
ACFC,Atlantic Coast Financial Corporation,ETF
ACFN,Acorn Energy, Inc.,ETF
ACGL,Arch Capital Group,Financials
ACHC,Acadia Healthcare Company,Healthcare
ACHN,Achillion Pharmaceuticals, Inc.,ETF
ACIW,ACI Worldwide,Information Technology
ACLS,Axcelis Technologies,Information Technology
ACNB,ACNB Corporation,Financials
ACOR,Acorda Therapeutics,Healthcare
ACRX,AcelRx Pharmaceuticals,Healthcare
ACST,Acasti Pharma,Healthcare
ACTA,Actua Corporation,ETF
ACTG,Acacia Research,Services
ACUR,Acura Pharmaceuticals, Inc.,ETF
ACWI,iShares MSCI ACWI Index Fund,ETF
ACWX,iShares MSCI ACWI ex US Index Fund,ETF
ADBE,Adobe,Information Technology
ADES,Advanced Emissions Solutions,Materials
ADI,Analog Devices,Information Technology
ADMA,ADMA Biologics,Healthcare
ADMP,Adamis Pharmaceuticals,Healthcare
ADP,Automatic Data Processing,Information Technology
ADRA,Adara Acquisition,SPAC
ADRD,BLDRS Developed Markets 100 ADR Index Fund,ETF
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,ETF
ADRU,BLDRS Europe 100 ADR Index Fund,ETF
ADSK,Autodesk,Information Technology
ADTN,ADTRAN,Industrial
ADUS,Addus HomeCare,Healthcare
ADXS,Advaxis,Healthcare
AEHR,Aehr Test Systems,Information Technology
AEIS,Advanced Energy Industries,Information Technology
AERI,Aerie Pharmaceuticals,Healthcare
AEY,ADDvantage Technologies Group,Industrial
AEZS,AEterna Zentaris,Healthcare
AFAM,Almost Family Inc,ETF
AFCB,Athens Bancshares Corporation,ETF
AFMD,Affimed,Healthcare
AFSI,AmTrust Financial Services, Inc.,ETF
AGEN,Agenus,Healthcare
AGIO,Agios Pharmaceuticals,Healthcare
AGNC,AGNC Investment,Real Estate
AGNCP,American Capital Agency Corp.,ETF
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,ETF
AGRX,Agile Therapeutics,Healthcare
AGTC,Applied Genetic Technologies,Healthcare
AGYS,Agilysys,Information Technology
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,ETF
AHGP,Alliance Holdings GP, L.P.,ETF
AHPI,Allied Healthcare Products,Healthcare
AIMC,Altra Industrial Motion,Industrial
AIQ,Alliance HealthCare Services, Inc.,ETF
AIRR,First Trust RBA American Industrial Renaissance ETF,ETF
AIRT,Air T,Industrial
AKAM,Akamai Technologies,Information Technology
AKBA,Akebia Therapeutics,Healthcare
ALCO,Alico,Staples
ALDX,Aldeyra Therapeutics,Healthcare
ALGN,Align Technology,Healthcare
ALGT,Allegiant Travel Company,Industrial
ALIM,Alimera Sciences,Healthcare
ALKS,Alkermes,Healthcare
ALLT,Allot,Information Technology
ALNY,Alnylam Pharmaceuticals,Healthcare
ALOG,Analogic Corporation,ETF
ALOT,AstroNova,Information Technology
ALTR,Altair Engineering,Information Technology
AMAT,Applied Materials,Information Technology
AMBA,Ambarella,Information Technology
AMBC,Ambac Financial Group,Financials
AMCF,Andatee China Marine Fuel Services Corporation,ETF
AMCX,AMC Networks,Communication
AMD,Advanced Micro Devices,Information Technology
AMED,Amedisys,Healthcare
AMGN,Amgen,Healthcare
AMKR,Amkor Technology,Information Technology
AMNB,American National Bankshares,Financials
AMOT,Allied Motion Technologies,Industrial
AMOV,America Movil,Information Technology
AMPH,Amphastar Pharmaceuticals,Healthcare
AMRK,A-Mark Precious Metals,Financials
AMRN,Amarin,Healthcare
AMRS,Amyris,Materials
AMSC,American Superconductor,Industrial
AMSF,AMERISAFE,Financials
AMSWA,American Software,Information Technology
AMTX,Aemetis,Energy
AMWD,American Woodmark,Industrial
AMZN,Amazon.com,Information Technology
ANAC,Arctos NorthStar Acquisition,SPAC
ANCB,Anchor Bancorp,ETF
ANCX,Access National Corporation,ETF
ANDE,The Andersons,Staples
ANGI,Angi Inc.,Information Technology
ANGO,AngioDynamics,Healthcare
ANIK,Anika Therapeutics,Healthcare
ANIP,ANI Pharmaceuticals,Healthcare
ANSS,ANSYS,Information Technology
ANTH,Anthera Pharmaceuticals, Inc.,ETF
ANY,Sphere 3D,Information Technology
AOSL,Alpha & Omega Semiconductor,Information Technology
APDN,Applied DNA Sciences,Industrial
APEI,American Public Education,Discretionary
APOG,Apogee Enterprises,Industrial
APTO,Aptose Biosciences,Healthcare
APWC,Asia Pacific Wire & Cable,Industrial
ARAY,Accuray,Healthcare
ARCB,ArcBest,Industrial
ARCC,Ares Capital,Financials
ARCW,ARC Group Worldwide, Inc.,ETF
ARDX,Ardelyx,Healthcare
ARII,American Railcar Industries, Inc.,ETF
ARIS,Aris Water Solutions,Industrial
ARKR,Ark Restaurants,Discretionary
ARLP,Alliance Resource Partners,Energy
AROW,Arrow Financial,Financials
ARRY,Array Technologies,Energy
ARTNA,Artesian Resources,Utilities
ARTW,Art's-Way Manufacturing Co.,Industrial
ARWR,Arrowhead Pharmaceuticals,Healthcare
ASMB,Assembly Biosciences,Healthcare
ASML,ASML Holding,Information Technology
ASPS,Altisource Portfolio Solutions,Real Estate
ASRV,AmeriServ Financial,Financials
ASTC,Astrotech,Industrial
ASTE,Astec Industries,Industrial
ASTI,Ascent Solar Technologies, Inc.,Information Technology
ASUR,Asure Software,Information Technology
ASYS,Amtech Systems,Information Technology
ATAI,ATAI Life Sciences,Healthcare
ATAX,America First Multifamily Investors LP,Financials
ATEC,Alphatec Holdings,Healthcare
ATHX,Athersys,Healthcare
ATLC,Atlanticus Holdings,Financials
ATLO,Ames National,Financials
ATNI,ATN International,Communication
ATOS,Atossa Therapeutics,Healthcare
ATRA,Atara Biotherapeutics,Healthcare
ATRC,AtriCure,Healthcare
ATRI,Atrion,Healthcare
ATRO,Astronics,Industrial
ATSG,Air Transport Services Group,Industrial
ATVI,Activision Blizzard,Communication
AUBN,Auburn National Bancorporation,Financials
AUDC,AudioCodes,Industrial
AUPH,Aurinia Pharmaceuticals,Healthcare
AVAV,AeroVironment,Industrial
AVEO,AVEO Pharmaceuticals,Healthcare
AVGO,Broadcom,Information Technology
AVHI,Achari Ventures Holdings I,SPAC
AVID,Avid Technology,Information Technology
AVNW,Aviat Networks,Industrial
AWAY,HomeAway, Inc.,ETF
AWRE,Aware,Information Technology
AXAS,Abraxas Petroleum Corporation,Energy
AXDX,Accelerate Diagnostics,Healthcare
AXGN,Axogen,Healthcare
AXTI,AXT Inc.,Information Technology
AZPN,Aspen Technology,Information Technology
BANF,BancFirst,Financials
BANFP,BancFirst Corporation,ETF
BANR,Banner,Financials
BANX,StoneCastle Financial,Financials
BBBY,Bed Bath & Beyond,Discretionary
BBC,BioShares Biotechnology Clinical Trials Fund,ETF
BBGI,Beasley Broadcast Group,Communication
BBLU,Blue Earth, Inc.,ETF
BBOX,Black Box Corporation,ETF
BBP,BioShares Biotechnology Products Fund,ETF
BBRG,Bravo Brio Restaurant Group, Inc.,ETF
BBSI,Barrett Business Services,Services
BCBP,BCB Bancorp,Financials
BCLI,Brainstorm Cell Therapeutics,Healthcare
BCOR,Blucora,Financials
BCOV,Brightcove,Information Technology
BCPC,Balchem,Materials
BCRX,BioCryst Pharmaceuticals,Healthcare
BDMS,Birner Dental Management Services, Inc.,ETF
BDSI,BioDelivery Sciences International,Healthcare
BEAT,HeartBeam,Healthcare
BEBE,bebe stores, inc.,ETF
BECN,Beacon Roofing Supply,Industrial
BELFA,Bel Fuse,Industrial
BELFB,Bel Fuse,Industrial
BFIN,BankFinancial,Financials
BGCP,BGC Partners,Financials
BGFV,Big 5 Sporting Goods,Discretionary
BGMD,BG Medicine, Inc.,ETF
BIB,ProShares Ultra Nasdaq Biotechnology,ETF
BICK,First Trust BICK Index Fund,ETF
BIDU,Baidu,Information Technology
BIIB,Biogen,Healthcare
BIOC,Biocept,Healthcare
BIOL,BIOLASE,Healthcare
BIOS,BioScrip, Inc.,ETF
BIS,ProShares UltraShort Nasdaq Biotechnology,ETF
BJRI,BJ's Restaurants,Discretionary
BKCC,BlackRock Capital Investment,Financials
BKSC,Bank of South Carolina,Financials
BLCM,Bellicum Pharmaceuticals,Healthcare
BLDP,Ballard Power Systems,Industrial
BLDR,Builders FirstSource,Industrial
BLFS,BioLife Solutions,Healthcare
BLIN,Bridgeline Digital,Information Technology
BLKB,Blackbaud,Information Technology
BLMN,Bloomin' Brands,Discretionary
BLRX,BioLineRx,Healthcare
BLUE,Bluebird Bio,Healthcare
BMRC,Bank of Marin Bancorp,Financials
BMRN,BioMarin Pharmaceutical,Healthcare
BNDX,Vanguard Total International Bond ETF,ETF
BNFT,Benefitfocus,Information Technology
BNSO,Bonso Electronics International,Industrial
BOKF,BOK Financial,Financials
BOOM,DMC Global,Energy
BOSC,BOS Better Online Solutions,Industrial
BOTJ,Bank of the James Financial Group,Financials
BPOP,Popular,Financials
BPOPM,Popular, Inc.,ETF
BPTH,Bio-Path Holdings,Healthcare
BRID,Bridgford Foods,Staples
BRKL,Brookline Bancorp,Financials
BRKR,Bruker,Healthcare
BRLI,Brilliant Acquisition,SPAC
BSET,Bassett Furniture Industries,Discretionary
BSF,Bear State Financial, Inc.,ETF
BSPM,Biostar Pharmaceuticals, Inc.,ETF
BSQR,Bsquare,Information Technology
BSRR,Sierra Bancorp,Financials
BUR,Burford Capital,Financials
BUSE,First Busey,Financials
BV,BrightView Holdings,Industrial
BWEN,Broadwind,Industrial
BWFG,Bankwell Financial Group,Financials
BYBK,Bay Bancorp, Inc.,ETF
BYFC,Broadway Financial,Financials
CA,CA Inc.,ETF
CAAS,China Automotive Systems,Industrial
CAC,Camden National,Financials
CACC,Credit Acceptance,Financials
CACG,Chart Acquisition Corp.,ETF
CACH,Cache, Inc.,ETF
CAKE,The Cheesecake Factory,Discretionary
CALA,Calithera Biosciences,Healthcare
CALD,Callidus Software, Inc.,ETF
CALL,magicJack VocalTec Ltd,ETF
CALM,Cal-Maine Foods,Staples
CAMP,CalAmp,Industrial
CAMT,Camtek,Information Technology
CAR,Avis Budget Group,Industrial
CARA,Cara Therapeutics,Healthcare
CARV,Carver Bancorp,Financials
CARZ,First Trust NASDAQ Global Auto Index Fund,ETF
CASH,Meta Financial Group,Financials
CASI,CASI Pharmaceuticals,Healthcare
CASS,Cass Information Systems,Information Technology
CASY,Casey's General Stores,Staples
CATY,Cathay General Bancorp,Financials
CAVM,Cavium, Inc.,ETF
CBAN,Colony Bankcorp,Financials
CBAY,CymaBay Therapeutics,Healthcare
CBFV,CB Financial Services,Financials
CBNK,Capital Bancorp,Financials
CBOE,Cboe Global Markets,Financials
CBRL,Cracker Barrel Old Country Store,Discretionary
CBSH,Commerce Bancshares,Financials
CCBG,Capital City Bank Group,Financials
CCIH,ChinaCache International Holdings Ltd.,ETF
CCLP,CSI Compressco LP,Energy
CCNE,CNB Financial,Financials
CCOI,Cogent Communications Holdings,Communication
CCRN,Cross Country Healthcare,Healthcare
CCUR,Concurrent Computer Corporation,ETF
CCXI,ChemoCentryx,Healthcare
CDC,Compass EMP U S EQ Income 100 Enhanced Volatility Weighted Fund,ETF
CDNA,CareDx,Healthcare
CDNS,Cadence Design Systems,Information Technology
CDTI,Clean Diesel Technologies, Inc.,ETF
CDW,CDW Corporation,Industrial
CDXS,Codexis,Healthcare
CDZI,Cadiz,Utilities
CECE,CECO Environmental,Industrial
CECO,Career Education Corporation,ETF
CEMI,Chembio Diagnostics,Healthcare
CENT,Central Garden & Pet Company,Discretionary
CENTA,Central Garden & Pet Company,Discretionary
CENX,Century Aluminum Company,Materials
CERE,Cerevel Therapeutics Holdings,Healthcare
CERS,Cerus,Healthcare
CEVA,CEVA, Inc.,Information Technology
CFA,Compass EMP US 500 Volatility Weighted Index ETF,ETF
CFBK,CF Bankshares,Financials
CFFI,C&F Financial,Financials
CFFN,Capitol Federal Financial,Financials
CFNB,California First National Bancorp,ETF
CFO,Compass EMP US 500 Enhanced Volatility Weighted Index ETF,ETF
CFRX,ContraFect,Healthcare
CG,The Carlyle Group,Financials
CGEN,Compugen,Healthcare
CGNX,Cognex,Industrial
CGO,Calamos Global Total Return Fund,ETF
CHCI,Comstock Holding Companies,Discretionary
CHCO,City Holding Company,Financials
CHDN,Churchill Downs,Discretionary
CHEF,The Chefs' Warehouse,Staples
CHFN,Charter Financial Corp.,ETF
CHI,Calamos Convertible Opportunities and Income Fund,ETF
CHKP,Check Point Software Technologies,Information Technology
CHMG,Chemung Financial,Financials
CHNR,China Natural Resources,Materials
CHRS,Coherus BioSciences,Healthcare
CHRW,C.H. Robinson Worldwide,Industrial
CHSCM,CHS Inc,ETF
CHSCN,CHS Inc,ETF
CHSCO,CHS Inc,ETF
CHSCP,CHS Inc,ETF
CHTR,Charter Communications,Communication
CHUY,Chuy's Holdings,Discretionary
CHW,Calamos Global Dynamic Income Fund,ETF
CHY,Calamos Convertible and High Income Fund,ETF
CIDM,Cinedigm,Communication
CINF,Cincinnati Financial,Financials
CIZ,Compass EMP Developed 500 Enhanced Volatility Weighted Index ETF,ETF
CIZN,Citizens Holding Company,Financials
CJJD,China Jo-Jo Drugstores,Staples
CLDX,Celldex Therapeutics,Healthcare
CLFD,Clearfield,Industrial
CLIR,ClearSign Technologies,Industrial
CLMT,Calumet Specialty Products Partners,Energy
CLNE,Clean Energy Fuels,Energy
CLRB,Cellectar BioSciences,Healthcare
CLRO,ClearOne,Industrial
CLSN,Celsion,Healthcare
CLVS,Clovis Oncology,Healthcare
CLWT,Euro Tech Holdings Company,Industrial
CMCO,Columbus McKinnon,Industrial
CMCSA,Comcast,Communication
CMCT,CIM Commercial Trust,Real Estate
CME,CME Group,Financials
CMLS,Cumulus Media,Communication
CMPR,Cimpress,Industrial
CMRX,Chimerix,Healthcare
CMTL,Comtech Telecommunications,Industrial
CNCE,Concert Pharmaceuticals,Healthcare
CNET,ZW Data Action Technologies,Communication
CNMD,CONMED,Healthcare
CNOB,ConnectOne Bancorp,Financials
CNSL,Consolidated Communications Holdings,Communication
CNTY,Century Casinos,Discretionary
CNXR,Connecture, Inc.,ETF
COBZ,CoBiz Financial Inc.,ETF
COCO,The Vita Coco Company,Discretionary
COHR,Coherent,Industrial
COHU,Cohu, Inc.,Information Technology
COKE,Coca-Cola Consolidated,Discretionary
COLB,Columbia Banking System,Financials
COLM,Columbia Sportswear Company,Discretionary
COMM,CommScope Holding Company,Industrial
COMT,iShares Commodities Select Strategy ETF,ETF
CONN,Conn's,Discretionary
COOL,Corner Growth Acquisition,SPAC
CORI,Corium International, Inc.,ETF
CORT,Corcept Therapeutics,Healthcare
COST,Costco Wholesale,Staples
COWN,Cowen,Financials
COWNL,Cowen Group, Inc.,ETF
CPHC,Canterbury Park Holding,Discretionary
CPIX,Cumberland Pharmaceuticals,Healthcare
CPLA,Capella Education Company,ETF
CPLP,Capital Product Partners,Energy
CPRT,Copart,Industrial
CPRX,Catalyst Pharmaceuticals,Healthcare
CPSI,Computer Programs & Systems,Healthcare
CPSS,Consumer Portfolio Services,Financials
CRAI,CRA International,Services
CREG,China Recycling Energy,Industrial
CRESY,Cresud SACIF y A.,Real Estate
CRIS,Curis,Healthcare
CRMT,America's Car-Mart,Discretionary
CRNT,Ceragon Networks,Industrial
CROX,Crocs,Discretionary
CRTN,Cartesian, Inc.,ETF
CRTO,Criteo,Communication
CRUS,Cirrus Logic,Information Technology
CRVL,CorVel,Healthcare
CRWS,Crown Crafts,Discretionary
CSBK,Clifton Bancorp Inc.,ETF
CSCO,Cisco Systems,Industrial
CSF,Compass EMP U.S. Discovery 500 Enhanced Volatility Weighted Fund,ETF
CSGP,CoStar Group,Services
CSGS,CSG Systems International,Information Technology
CSII,Cardiovascular Systems,Healthcare
CSIQ,Canadian Solar,Information Technology
CSPI,CSP Inc.,Information Technology
CSQ,Calamos Strategic Total Return Fund,ETF
CSTE,Caesarstone,Industrial
CSWC,Capital Southwest,Financials
CTAS,Cintas,Industrial
CTBI,Community Trust Bancorp,Financials
CTG,Computer Task Group,Information Technology
CTHR,Charles & Colvard,Discretionary
CTIB,Yunhong CTI,Discretionary
CTIC,CTI BioPharma,Healthcare
CTRE,CareTrust REIT,Real Estate
CTRN,Citi Trends,Discretionary
CTSH,Cognizant Technology Solutions,Information Technology
CTSO,CytoSorbents,Healthcare
CTXS,Citrix Systems,Information Technology
CUBA,The Herzfeld Caribbean Basin Fund, Inc.,ETF
CUTR,Cutera,Healthcare
CVBF,CVB Financial,Financials
CVCO,Cavco Industries,Discretionary
CVCY,Central Valley Community Bancorp,Financials
CVGI,Commercial Vehicle Group,Industrial
CVGW,Calavo Growers,Staples
CVLT,Commvault Systems,Information Technology
CVLY,Codorus Valley Bancorp,Financials
CVV,CVD Equipment,Information Technology
CWAY,Coastway Bancorp, Inc.,ETF
CWBC,Community West Bancshares,Financials
CWCO,Consolidated Water Co.,Utilities
CWST,Casella Waste Systems,Industrial
CXDC,China XD Plastics Company Limited,ETF
CYAN,Cyanotech,Discretionary
CYBE,CyberOptics,Information Technology
CYBR,CyberArk Software,Information Technology
CYCC,Cyclacel Pharmaceuticals,Healthcare
CYCCP,Cyclacel Pharmaceuticals, Inc.,ETF
CYRN,Cyren,Information Technology
CYTK,Cytokinetics,Healthcare
CYTR,CytRx Corporation,ETF
